size,material,print,finish,cut,quantity,price_num,error
148x210,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,1200,5313,
148x210,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,1500,6444,
148x210,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,1700,7297,
148x210,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,2000,7297,
148x210,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,2500,10706,
148x210,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,5000,21364,
148x210,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,10000,42676,
148x210,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,25000,106617,
148x210,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,50000,213183,
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,1200,10280,
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,1500,12838,
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,1700,14542,
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,2000,17101,
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,2500,21364,
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,5000,42676,
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,10000,85303,
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,25000,213183,
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,50000,426317,
